#Rname	Rclass	Rfam	Rlen	FRG_NB_all	FRG_NB_Reconstructed_repeats	LEN_MASKED_NR	AVG_%DIV	MED_%DIV	AVG_%DEL	MED_%DEL	AVG_%INS	MED_%INS	AVG_LEN_MASKED	%_GENOME

Copia-11_PTrit-I	LTR	Copia	nd	1	1	81	27.5	27.5	3.69999999999999	3.7	1.2	1.2	9.93751633249212e-05	nd
rnd-1_family-32	Unknown	Unknown	nd	1	1	58	21.5	21.5	0	0	3.6	3.6	7.11575243561164e-05	nd
Copia-6_PGr-I	LTR	Copia	nd	2	2	142	23.1774647887324	27.2	1.39295774647887	2.3	5.88169014084509	6	0.000174213249285664	nd
MoTeR2	LINE	CRE	nd	1	1	51	25.5	25.5	0	0.0	0	0.0	6.25695472786541e-05	nd
rnd-4_family-280	Unknown	Unknown	nd	41	40	6244	17.4136771300446	18	2.81442985265852	1.6	5.83129404228093	5	0.00766047555309639	nd
MGRL3_I	LTR	Gypsy	nd	1	1	41	7.30000000000001	7.3	12.2	12.2	0	0.0	5.03010085965651e-05	nd
GYPSY1_MG	LTR	Gypsy	nd	1	1	66	25.4	25.4	0	0	4.80000000000001	4.8	8.09723553017876e-05	nd
I-3_AO	LINE	Tad1	nd	1	1	94	22.4	22.4	0	0	14.6	14.6	0.000115324263611637	nd
Gypsy-3_CH	LTR	Gypsy	nd	1	1	146	34.4	34.4	2	2	6.39999999999998	6.4	0.0001791206647585	nd
rnd-1_family-19	Unknown	Unknown	nd	37	37	4502	15.3496223900489	14.4	9.38227454464683	15.3	1.33440693025325	0.5	0.00552329611467648	nd
Mariner-3_PGr	DNA	TcMar-Tc1	nd	1	1	72	21.1	21.1	5.60000000000001	5.6	1.3	1.3	8.83334785110411e-05	nd
Copia-7_BG-I	LTR	Copia	nd	1	1	83	24.4	24.4	7.2	7.2	1.1	1.1	0.000101828871061339	nd
rnd-1_family-49	LTR	Gypsy	nd	17	14	43838	12.5070190245906	11.3	0.197659564761212	0.1	0.0633217756284542	0	0.0537828198745419	nd
rnd-1_family-8	Unknown	Unknown	nd	34	28	41068	18.0708605240008	18.1	2.23532677510476	1.4	1.55045534235891	1.6	0.0503844346596033	nd
Copia-38_BG-I	LTR	Copia	nd	1	1	29	0	0.0	3.5	3.5	0	0.0	3.55787621780582e-05	nd
Mariner2N1_AO	DNA	TcMar-Fot1	nd	8	7	977	26.4289662231323	27.7	2.20440122824973	2.1	1.26305015353121	1.1	0.0011986362292401	nd
Gypsy-11_ADe-I	LTR	Gypsy	nd	1	1	66	22.3	22.3	0	0	4.80000000000001	4.8	8.09723553017876e-05	nd
Gypsy-27_ADe-I	LTR	Gypsy	nd	1	1	55	18.5	18.5	7.30000000000001	7.3	1.7	1.7	6.74769627514897e-05	nd
Gypsy-84_MLP-I	LTR	Gypsy	nd	1	1	66	16.8	16.8	0	0	10	10	8.09723553017876e-05	nd
Copia-4_CPu-I	LTR	Copia	nd	1	1	62	20.4	20.4	1.6	1.6	5	5	7.6064939828952e-05	nd
Gypsy-105_MLP-I	LTR	Gypsy	nd	1	1	73	25	25.0	1.4	1.4	1.4	1.4	8.956033237925e-05	nd
Copia-44_MLP-I	LTR	Copia	nd	1	1	45	20	20.0	0	0.0	0	0.0	5.52084240694007e-05	nd
Gypsy-24_ADe-I	LTR	Gypsy	nd	4	4	198	15.8045454545455	15.2	2.99949494949496	2.1	0.979292929292928	1.7	0.000242917065905363	nd
rnd-1_family-51	Unknown	Unknown	nd	21	21	1933	5.42177961717547	3.2	0.365700982928092	0.0	0.892395240558707	0.0	0.00237150852724781	nd
Gypsy-2_GDe-I	LTR	Gypsy	nd	2	2	612	40.331862745098	42	0.653104575163392	0.7	0.653104575163392	0.7	0.000750834567343849	nd
Gypsy-8_CPu-I	LTR	Gypsy	nd	1	1	58	17.2	17.2	5.19999999999999	5.2	0	0	7.11575243561164e-05	nd
Mariner-13_SS	DNA	TcMar-Fot1	nd	1	1	172	39.5	39.5	0	0	0	0	0.000211018865331931	nd
rnd-1_family-5	Unknown	Unknown	nd	16	16	2708	21.3118168389952	20.9	4.00775480059083	3.9	3.27407680945342	3	0.00332232027510971	nd
Copia-3_SCH-I	LTR	Copia	nd	1	1	48	20.8	20.8	0	0	0	0	5.88889856740274e-05	nd
rnd-4_family-259	Unknown	Unknown	nd	193	155	105996	15.9241046831916	16	3.70181610626743	2.8	3.26340616627194	2.6	0.130041602614671	nd
Copia-2_PSH-I	LTR	Copia	nd	1	1	90	30.3	30.3	1.1	1.1	1.1	1.1	0.000110416848138801	nd
Copia-1_SCH-I	LTR	Copia	nd	1	1	58	17.5	17.5	0	0	11.5	11.5	7.11575243561164e-05	nd
Copia-77_BG-I	LTR	Copia	nd	1	1	32	6.2	6.2	3.1	3.1	0	0	3.92593237826849e-05	nd
rnd-1_family-21	Unknown	Unknown	nd	32	32	2117	16.7620689655171	15.2	0.463769485120453	0.0	0.150070854983467	0.0	0.00259724963899825	nd
Gypsy-10_CCO-I	LTR	Gypsy	nd	2	2	175	25.364	22.1	1.144	2.2	3.54	5.7	0.000214699426936558	nd
rnd-1_family-2	Unknown	Unknown	nd	18	17	4965	18.0512990936549	17.7	2.81653575025188	2.7	3.01174219536756	2.6	0.00609132945565721	nd
rnd-1_family-39	Unknown	Unknown	nd	19	19	1464	13.9694672131147	13.9	0.273565573770492	0	0.134904371584699	0	0.00179611406305784	nd
Copia-22_MLP-I	LTR	Copia	nd	1	1	56	26.8	26.8	0	0	0	0	6.87038166196986e-05	nd
Mariner-2_SLL	DNA	TcMar-Fot1	nd	2	2	125	22.4000000000001	22.4	0	0.0	0	0.0	0.000153356733526113	nd
rnd-1_family-7	Unknown	Unknown	nd	39	39	2008	10.3368525896415	10.3	12.9027888446214	16.4	0.896812749003985	0	0.00246352256736348	nd
Tad1-14_BG	LINE	Tad1	nd	1	1	474	35.7999999999997	35.8	1.10000000000001	1.1	2.20000000000002	2.2	0.00058152873353102	nd
rnd-1_family-22	Unknown	Unknown	nd	37	35	4659	13.1092294483797	13.3	1.27392144236959	0.0	0.691113972955567	0.0	0.00571591217198528	nd
Gypsy-10_ADe-I	LTR	Gypsy	nd	1	1	67	10.9	10.9	11.9	11.9	4.19999999999999	4.2	8.21992091699966e-05	nd
rnd-1_family-24	Unknown	Unknown	nd	18	18	1349	0.42772424017791	0.0	3.40808005930316	3.0	0.276501111934767	0.0	0.00165502586821381	nd
Tad1-4_PGr	LINE	Tad1	nd	1	1	121	25.0999999999999	25.1	2.6	2.6	1.8	1.8	0.000148449318053277	nd
Gypsy-1_MVPL-I	LTR	Gypsy	nd	1	1	54	22.2	22.2	1.9	1.9	0	0	6.62501088832808e-05	nd
rnd-1_family-26	Unknown	Unknown	nd	31	31	2560	9.22500000000009	9.3	0.741093750000011	0	0.12234375	0	0.00314074590261479	nd
Copia-58_BG-I	LTR	Copia	nd	4	4	465	30.1784946236556	32.4	0.65806451612903	0.0	2.38451612903226	2.2	0.00057048704871714	nd
Mariner-7_SS	DNA	TcMar-Fot1	nd	2	2	134	26.9000000000001	26.9	0	0	0	0	0.000164398418339993	nd
Tad1-38_BG	LINE	Tad1	nd	1	1	59	25.4	25.4	0	0.0	0	0.0	7.23843782243253e-05	nd
FTF1_FO	DNA	TcMar-Pogo	nd	1	1	45	20	20.0	0	0.0	0	0.0	5.52084240694007e-05	nd
LTR-1_PSt-LTR	LTR	LTR	nd	1	1	103	25.5999999999999	25.6	1	1.0	5	5.0	0.000126365948425517	nd
Gypsy-9_BG-I	LTR	Gypsy	nd	3	3	1821	37.464964305327	37.8	2.42267984623831	1.8	2.65930807248771	2.0	0.00223410089400841	nd
rnd-1_family-35	Unknown	Unknown	nd	2	2	1203	17.3367414796346	17.2	2.18894430590195	2.9	3.93258520365759	5.3	0.00147590520345531	nd
MarinerL-1_AO	DNA	TcMar-Ant1	nd	1	1	179	34.5	34.5	2.80000000000001	2.8	2.80000000000001	2.8	0.000219606842409394	nd
Gypsy-1-I_AF	LTR	Gypsy	nd	1	1	512	31.5	31.5	6.5	6.5	5.80000000000003	5.8	0.000628149180522959	nd
rnd-1_family-10	Unknown	Unknown	nd	28	28	2055	4.28802919708031	4.0	0.0474452554744525	0.0	0	0.0	0.0025211846991693	nd
Tad1-10_PGr	LINE	Tad1	nd	1	1	89	26.1	26.1	4.5	4.5	1.1	1.1	0.000109189994270592	nd
rnd-1_family-47	Unknown	Unknown	nd	17	17	2996	17.591722296395	13.7	1.16101468624835	0	1.07713618157543	0	0.00367565418915388	nd
Mariner-5_SS	DNA	TcMar-Fot1	nd	1	1	692	36.7000000000005	36.7	2.70000000000003	2.7	2.70000000000003	2.7	0.000848982876800561	nd
rnd-1_family-28	Unknown	Unknown	nd	7	7	1602	15.7535580524346	16.4	0.195942571785269	0	0.378214731585518	0	0.00196541989687066	nd
Copia-52_BG-I	LTR	Copia	nd	1	1	92	24.4	24.4	1.1	1.1	10.7	10.7	0.000112870555875219	nd
Gypsy-6_PSH-I	LTR	Gypsy	nd	1	1	35	8.6	8.6	0	0.0	0	0.0	4.29398853873116e-05	nd
Gypsy-1_GDe-I	LTR	Gypsy	nd	1	1	66	18.8	18.8	3	3	3	3	8.09723553017876e-05	nd
Gypsy-58_BG-I	LTR	Gypsy	nd	1	1	666	38.2000000000005	38.2	1.79999999999998	1.8	1.9	1.9	0.00081708467622713	nd
Gypsy-34_ADe-I	LTR	Gypsy	nd	1	1	43	16.7	16.7	0	0.0	2.4	2.4	5.27547163329829e-05	nd
rnd-1_family-37	SINE?	SINE?	nd	16	16	1896	11.2149789029538	10.7	2.58059071729961	0.8	4.23665611814349	4	0.00232611493412408	nd
rnd-1_family-15	Unknown	Unknown	nd	32	27	36740	12.7817065868269	12.4	0.626684812193792	0.3	0.455381056069697	0.2	0.0450746111179951	nd
Copia-38_MLP-I	LTR	Copia	nd	1	1	41	12.9	12.9	0	0.0	5.1	5.1	5.03010085965651e-05	nd
MGR583	LINE	Tad1	nd	1	1	35	8.6	8.6	2.9	2.9	0	0.0	4.29398853873116e-05	nd
rnd-1_family-45	Unknown	Unknown	nd	19	19	1117	13.0834377797672	14.8	0	0.0	0.561504028648165	0.0	0.00137039577078935	nd
rnd-1_family-30	Unknown	Unknown	nd	32	32	5083	9.02297855597083	4.0	1.41709620302974	0.0	0.768561872909688	0.0	0.00623609821210586	nd
Harbinger-4D_PSt	DNA	PIF-Harbinger	nd	1	1	132	31.0999999999999	31.1	13.6	13.6	0	0	0.000161944710603575	nd
rnd-4_family-639	Unknown	Unknown	nd	67	67	9912	22.9863196125911	23.4	2.8519874899111	1.7	1.99471347861188	0.8	0.0121605755416867	nd
rnd-1_family-23	Unknown	Unknown	nd	19	19	1623	1.9645101663586	2.0	2.95341959334566	4.0	0.240911891558842	0.0	0.00199118382810305	nd
GYARLI1_I	LTR	Gypsy	nd	1	1	44	15.9	15.9	0	0	0	0	5.39815702011918e-05	nd
