Orthogroup	Duplications (all)	Duplications (50% support)
OG0000781	7	4
OG0000782	7	2
OG0000783	14	2
OG0000784	6	3
OG0000785	16	7
OG0000786	13	7
OG0000787	2	1
OG0000788	18	6
OG0000789	18	10
OG0000790	21	10
OG0000791	35	22
OG0000792	8	7
OG0000793	15	5
OG0000794	4	2
OG0000795	10	3
OG0000796	13	2
OG0000797	13	11
OG0000798	27	12
OG0000799	9	2
OG0000800	12	5
OG0000801	1	1
OG0000802	6	3
OG0000803	15	6
OG0000804	10	1
OG0000805	5	2
OG0000806	5	0
OG0000807	2	2
OG0000808	14	10
OG0000809	8	1
OG0000810	7	5
OG0000811	8	3
OG0000812	18	9
OG0000813	8	6
OG0000814	6	0
OG0000815	6	2
OG0000816	19	6
OG0000817	14	5
OG0000818	12	4
OG0000819	14	4
OG0000820	12	6
OG0000821	3	1
OG0000822	8	2
OG0000823	43	18
OG0000824	11	4
OG0000825	17	5
OG0000826	18	10
OG0000827	9	3
OG0000828	6	0
OG0000829	6	2
OG0000830	19	5
OG0000831	27	18
OG0000832	25	7
OG0000833	8	4
OG0000834	4	3
OG0000835	12	6
OG0000836	25	17
OG0000837	18	5
OG0000838	19	7
OG0000839	19	9
OG0000840	8	3
OG0000841	14	3
OG0000842	6	3
OG0000843	10	5
OG0000844	10	5
OG0000845	4	2
OG0000846	6	2
OG0000847	10	5
OG0000848	111	90
OG0000849	11	3
OG0000850	5	3
OG0000851	21	9
OG0000852	1	1
OG0000853	5	3
OG0000854	8	6
OG0000855	5	2
OG0000856	13	9
OG0000857	6	4
OG0000858	9	2
OG0000859	21	13
OG0000860	12	4
OG0000861	9	4
OG0000862	3	1
OG0000863	5	2
OG0000864	3	1
OG0000865	11	2
OG0000866	7	2
OG0000867	17	4
OG0000868	13	6
OG0000869	3	2
OG0000870	11	3
OG0000871	24	6
OG0000872	6	2
OG0000873	28	20
OG0000874	29	14
OG0000875	15	3
OG0000876	20	6
OG0000877	8	1
OG0000878	11	4
OG0000879	10	3
OG0000880	6	2
OG0000881	4	1
OG0000882	6	2
OG0000883	13	6
OG0000884	3	1
OG0000885	17	5
OG0000886	9	4
OG0000887	37	20
OG0000888	15	4
OG0000889	24	5
OG0000890	9	5
OG0000891	4	2
OG0000892	16	6
OG0000893	19	13
OG0000894	1	1
OG0000895	11	4
OG0000896	16	3
OG0000897	7	3
OG0000898	11	3
OG0000899	2	1
OG0000900	4	2
OG0000901	22	10
OG0000902	7	4
OG0000903	9	2
OG0000904	14	4
OG0000905	23	4
OG0000906	15	5
OG0000907	22	13
OG0000908	6	4
OG0000909	15	7
OG0000910	14	10
OG0000911	7	1
OG0000912	18	7
OG0000913	5	2
OG0000914	2	1
OG0000915	31	11
OG0000916	18	9
OG0000917	7	7
OG0000918	25	6
OG0000919	7	5
OG0000920	25	9
OG0000921	6	3
OG0000922	9	1
OG0000923	7	4
OG0000924	59	33
OG0000925	6	2
OG0000926	27	15
OG0000927	15	3
OG0000928	20	9
OG0000929	9	7
OG0000930	20	8
OG0000931	9	3
OG0000932	11	8
OG0000933	19	9
OG0000934	7	4
OG0000935	16	4
OG0000936	17	3
OG0000937	11	7
OG0000938	9	0
OG0000939	13	3
OG0000940	15	9
OG0000941	22	12
OG0000942	6	1
OG0000943	11	3
OG0000944	5	3
OG0000945	26	16
OG0000946	5	1
OG0000947	6	3
OG0000948	7	2
OG0000949	15	6
OG0000950	14	5
OG0000951	14	8
OG0000952	9	4
OG0000953	2	1
OG0000954	6	3
OG0000955	13	2
OG0000956	8	4
OG0000957	7	4
OG0000958	10	3
OG0000959	11	8
OG0000960	20	6
OG0000961	8	3
OG0000962	27	21
OG0000963	5	3
OG0000964	20	5
OG0000965	9	1
OG0000966	7	6
OG0000967	52	38
OG0000968	8	3
OG0000969	8	3
OG0000970	5	1
OG0000971	38	26
OG0000972	6	5
OG0000973	5	1
OG0000974	9	1
OG0000975	33	15
OG0000976	9	5
OG0000977	5	2
OG0000978	9	1
OG0000979	8	4
OG0000980	11	8
OG0000981	26	6
OG0000982	30	8
OG0000983	8	1
OG0000984	27	9
OG0000985	21	11
OG0000986	5	2
OG0000987	9	6
OG0000988	14	4
OG0000989	27	16
OG0000990	6	1
OG0000991	25	7
OG0000992	5	3
OG0000993	25	12
OG0000994	5	4
OG0000995	12	8
OG0000996	19	5
OG0000997	9	2
OG0000998	7	4
OG0000999	11	5
OG0001000	20	6
OG0001001	3	2
OG0001002	6	2
OG0001003	2	1
OG0001004	35	18
OG0001005	23	11
OG0001006	29	18
OG0001007	4	3
OG0001008	6	5
OG0001009	5	3
OG0001010	44	19
OG0001011	14	13
OG0001012	8	4
OG0001013	3	1
OG0001014	23	17
OG0001015	10	2
OG0001016	8	1
OG0001017	13	6
OG0001018	11	2
OG0001019	12	4
OG0001020	9	2
OG0001021	7	1
OG0001022	10	0
OG0001023	13	5
OG0001024	2	2
OG0001025	5	2
OG0001026	27	14
OG0001027	15	2
OG0001028	3	3
OG0001029	24	11
OG0001030	12	2
OG0001031	6	2
OG0001032	10	5
OG0001033	10	6
OG0001034	4	2
OG0001035	5	3
OG0001036	31	22
OG0001037	8	4
OG0001038	23	9
OG0001039	3	1
OG0001040	56	38
OG0001041	13	8
OG0001042	12	3
OG0001043	3	1
OG0001044	2	2
OG0001045	3	2
OG0001046	31	12
OG0001047	9	1
OG0001048	9	5
OG0001049	6	4
OG0001050	15	10
OG0001051	2	2
OG0001052	10	6
OG0001053	7	0
OG0001054	16	4
OG0001055	16	5
OG0001056	3	1
OG0001057	7	6
OG0001058	8	2
OG0001059	15	4
OG0001060	10	8
OG0001061	21	12
OG0001062	8	3
OG0001063	2	2
OG0001064	14	0
OG0001065	2	1
OG0001066	5	1
OG0001067	10	3
OG0001068	3	1
OG0001069	9	3
OG0001070	7	3
OG0001071	4	3
OG0001072	58	33
OG0001073	17	5
OG0001074	15	9
OG0001075	10	7
OG0001076	5	1
OG0001077	10	1
OG0001078	9	4
OG0001079	1	1
OG0001080	5	3
OG0001081	10	6
OG0001082	6	2
OG0001083	8	4
OG0001084	2	1
OG0001085	3	2
OG0001086	11	3
OG0001087	10	5
OG0001088	4	1
OG0001089	11	5
OG0001090	3	2
OG0001091	2	1
OG0001092	14	4
OG0001093	4	1
OG0001094	3	0
OG0001095	67	43
OG0001096	4	0
OG0001097	6	3
OG0001098	12	5
OG0001099	40	18
OG0001100	23	10
OG0001101	14	9
OG0001102	4	2
OG0001103	6	1
OG0001104	7	3
OG0001105	10	7
OG0001106	6	1
OG0001107	9	3
OG0001108	9	1
OG0001109	6	3
OG0001110	1	1
OG0001111	36	21
OG0001112	4	4
OG0001113	11	7
OG0001114	5	3
OG0001115	7	1
OG0001116	3	1
OG0001117	1	1
OG0001118	11	4
OG0001119	6	0
OG0001120	6	2
OG0001121	5	3
OG0001122	17	2
OG0001123	10	5
OG0001124	28	13
OG0001125	5	1
OG0001126	3	2
OG0001127	6	0
OG0001128	7	7
OG0001129	16	6
OG0001130	10	2
OG0001131	7	4
OG0001132	29	10
OG0001133	8	2
OG0001134	6	0
OG0001135	5	2
OG0001136	12	4
OG0001137	11	6
OG0001138	11	7
OG0001139	5	2
OG0001140	13	5
OG0001141	15	3
OG0001142	9	2
OG0001143	6	2
OG0001144	13	3
OG0001145	5	1
OG0001146	41	36
OG0001147	13	5
OG0001148	9	1
OG0001149	19	7
OG0001150	32	20
OG0001151	7	5
OG0001152	2	2
OG0001153	7	4
OG0001154	6	3
OG0001155	11	3
OG0001156	24	14
OG0001157	8	3
OG0001158	31	14
OG0001159	8	1
OG0001160	8	2
OG0001161	13	6
OG0001162	4	0
OG0001163	43	31
OG0001164	4	2
OG0001165	2	1
OG0001166	4	0
OG0001167	8	4
OG0001168	3	2
OG0001169	4	2
OG0001170	4	0
OG0001171	27	11
OG0001172	6	0
OG0001173	6	2
OG0001174	6	1
OG0001175	19	6
OG0001176	8	3
OG0001177	4	3
OG0001178	16	7
OG0001179	5	1
OG0001180	27	13
OG0001181	20	6
OG0001182	11	5
OG0001183	3	1
OG0001184	14	4
OG0001185	4	0
OG0001186	15	4
OG0001187	13	5
OG0001188	11	1
OG0001189	4	2
OG0001190	6	1
OG0001191	11	2
OG0001192	3	3
OG0001193	38	33
OG0001194	8	5
OG0001195	14	5
OG0001196	23	7
OG0001197	25	14
OG0001198	35	13
OG0001199	74	36
OG0001200	7	2
OG0001201	34	22
OG0001202	6	3
OG0001203	20	13
OG0001204	12	4
OG0001205	2	2
OG0001206	5	2
OG0001207	2	1
OG0001208	15	8
OG0001209	61	43
OG0001210	18	7
OG0001211	3	1
OG0001212	78	55
OG0001213	12	1
OG0001214	19	6
OG0001215	4	1
OG0001216	5	0
OG0001217	13	6
OG0001218	4	0
OG0001219	5	3
OG0001220	6	0
OG0001221	3	2
OG0001222	12	3
OG0001223	8	5
OG0001224	10	1
OG0001225	12	0
OG0001226	17	3
OG0001227	6	4
OG0001228	5	0
OG0001229	43	9
OG0001230	6	2
OG0001231	18	8
OG0001232	6	2
OG0001233	11	4
OG0001234	2	1
OG0001235	8	4
OG0001236	13	5
OG0001237	6	3
OG0001238	3	1
OG0001239	19	7
OG0001240	5	3
OG0001241	18	5
OG0001242	11	5
OG0001243	22	6
OG0001244	10	5
OG0001245	5	3
OG0001246	9	4
OG0001247	11	4
OG0001248	17	7
OG0001249	6	1
OG0001250	8	2
OG0001251	18	10
OG0001252	6	1
OG0001253	9	5
OG0001254	17	10
OG0001255	13	7
OG0001256	27	13
OG0001257	10	4
OG0001258	10	5
OG0001259	10	3
OG0001260	10	1
OG0001261	10	2
OG0001262	12	5
OG0001263	9	3
OG0001264	15	7
OG0001265	7	1
OG0001266	7	1
OG0001267	23	0
OG0001268	11	5
OG0001269	8	4
OG0001270	10	4
OG0001271	19	10
OG0001272	21	6
OG0001273	6	3
OG0001274	8	3
OG0001275	7	1
OG0001276	4	3
OG0001277	14	2
OG0001278	7	4
OG0001279	21	4
OG0001280	4	0
OG0001281	9	0
OG0001282	4	0
OG0001283	15	6
OG0001284	6	2
OG0001285	7	4
OG0001286	3	0
OG0001287	4	0
OG0001288	8	1
OG0001289	7	3
OG0001290	36	24
OG0001291	12	4
OG0001292	32	26
OG0001293	3	1
OG0001294	2	1
OG0001295	4	0
OG0001296	37	33
OG0001297	5	2
OG0001298	4	2
OG0001299	1	1
OG0001300	14	2
OG0001301	1	1
OG0001302	3	2
OG0001303	5	0
OG0001304	36	29
OG0001305	57	33
OG0001306	1	1
OG0001307	10	4
OG0001308	10	2
OG0001309	11	3
OG0001310	27	24
OG0001311	5	1
OG0001312	4	2
OG0001313	2	2
OG0001314	18	2
OG0001315	11	7
OG0001316	13	6
OG0001317	14	5
OG0001318	7	0
OG0001319	14	6
OG0001320	33	20
OG0001321	4	3
OG0001322	17	8
OG0001323	28	19
OG0001324	10	5
OG0001325	22	11
OG0001326	4	1
OG0001327	20	0
OG0001328	10	6
OG0001329	24	15
OG0001330	3	2
OG0001331	34	11
OG0001332	2	1
OG0001333	10	2
OG0001334	7	1
OG0001335	19	8
OG0001336	5	2
OG0001337	5	1
OG0001338	9	6
OG0001339	3	1
OG0001340	11	1
OG0001341	35	23
OG0001342	33	13
OG0001343	17	5
OG0001344	8	4
OG0001345	13	5
OG0001346	13	7
OG0001347	8	1
OG0001348	7	3
OG0001349	22	9
OG0001350	17	10
OG0001351	5	3
OG0001352	7	3
OG0001353	6	1
OG0001354	15	7
OG0001355	4	0
OG0001356	3	2
OG0001357	7	3
OG0001358	19	9
OG0001359	3	0
OG0001360	1	0
OG0001361	6	2
OG0001362	14	2
OG0001363	6	0
OG0001364	8	2
OG0001365	9	2
OG0001366	18	9
OG0001367	9	3
OG0001368	9	4
OG0001369	3	2
OG0001370	7	5
OG0001371	9	3
OG0001372	10	4
OG0001373	67	49
OG0001374	7	3
OG0001375	6	4
OG0001376	14	7
OG0001377	15	10
OG0001378	15	5
OG0001379	6	2
OG0001380	14	9
OG0001381	8	1
OG0001382	28	4
OG0001383	3	1
OG0001384	25	16
OG0001385	4	1
OG0001386	12	6
OG0001387	5	2
OG0001388	4	3
OG0001389	22	7
OG0001390	3	2
OG0001391	5	2
OG0001392	24	12
OG0001393	5	1
OG0001394	6	1
