	Acrchr1.aa	AcreTS7_1.aa	Annmae1.aa	Anntru1.aa	Astsub1.aa	Beaba1.aa	Bisma1.aa	Bismed1.aa	Chafu1.aa	Chame1.aa	Chathe1.aa	Colab1.aa	Colac2.aa	Colca1.aa	Colce1.aa	Colch1.aa	Colco1.aa	Colcu1.aa	Coler1.aa	Colfa1.aa	Colfi1.aa	Colgl1.aa	Colgo1.aa	Colhig2.aa	Colin1.aa	Collu1.aa	Colme1.aa	Colna1.aa	Colny1.aa	Color1.aa	Colorb1.aa	Colpa1.aa	Colph1.aa	Colsa1.aa	Colsi1.aa	Colso1.aa	Colsu1.aa	Colsub1.aa	Colta1.aa	Colto1.aa	Colzo1.aa	Cormi1.aa	Crypa2.aa	CtCBS203_1.aa	Cylol1.aa	Daces1.aa	Dacma1.aa	Dalba1.aa	Dalloc1.aa	Dalver1.aa	Diaam1.aa	Escweb1.aa	Fusgr1.aa	Fusoxalb1.aa	Fustri1.aa	Fusve2.aa	GCA_001625285.1.aa	GCA_004920355.1.aa	GCA_005350895.1.aa	GCA_006783085.1.aa	GCA_009806415.1.aa	GCA_011075155.1.aa	GCA_011800055.1.aa	GCA_014235925.1.aa	GCA_014235935.1.aa	GCA_014235945.1.aa	GCA_014235955.1.aa	GCA_018906675.1.aa	GCA_018906765.1.aa	GCA_018907675.1.aa	GCA_025327125.1.aa	GCA_025327135.1.aa	GCA_025327145.1.aa	GCA_025327155.1.aa	GCA_025327165.1.aa	GCA_025328335.1.aa	GCA_025328345.1.aa	GCA_025328355.1.aa	GCA_025328625.1.aa	GCA_025328985.1.aa	GCA_025329375.1.aa	GCA_025329385.1.aa	GCA_025330015.1.aa	GCA_027942835.1.aa	GCA_027942845.1.aa	GCA_029226625.1.aa	Grocl1.aa	Hyparg1.aa	Hypcer1.aa	Hypfus1.aa	Ilyeu1.aa	KdCBS826_1.aa	Metac1.aa	Micbo1.aa	Mictri1.aa	Neodi1.aa	Ophpic1.aa	Plecuc1.aa	Porpun1.aa	Pseve2.aa	Roster1.aa	Seagrass.aa	Sorhu1.aa	Stael1.aa	Triaru1.aa	Trihar1.aa	Tripar1.aa	Truan1.aa	Verda1.aa	Xyllon1.aa
'4	24	72	63	72	113	67	82	50	61	69	13	158	126	89	117	71	141	128	108	77	121	176	150	118	91	132	126	89	129	95	100	136	124	125	128	91	110	114	137	116	88	58	85	85	258	265	321	68	75	79	87	7	99	321	174	408	105	104	80	71	189	114	180	161	166	161	146	134	131	140	139	122	139	135	125	138	118	139	138	121	138	137	128	142	93	69	36	109	102	104	300	94	74	118	198	141	32	139	50	102	77	90	61	166	68	135	48	150	71	103
'5	17	20	39	42	72	44	31	31	23	44	5	89	62	41	64	44	77	69	60	47	70	93	89	82	43	78	74	48	77	44	57	71	75	59	69	47	52	45	78	57	40	24	46	49	126	163	170	25	30	29	38	5	59	183	84	186	57	67	44	32	89	75	95	92	97	84	87	56	59	56	66	60	69	67	60	59	79	63	71	67	63	66	67	80	50	34	9	55	53	56	169	73	30	58	102	65	19	70	21	44	43	51	23	85	41	60	21	81	39	62
'6	7	14	25	24	39	20	21	12	11	26	0	39	40	29	40	26	28	41	30	34	40	59	45	38	44	29	41	27	33	30	30	27	30	32	31	31	33	34	34	43	29	11	20	20	97	109	150	12	17	17	20	1	29	97	52	140	49	33	12	20	65	33	59	52	44	41	43	35	33	35	49	46	40	47	46	46	41	41	40	45	37	36	43	56	33	24	9	37	30	27	110	27	16	36	67	38	11	33	6	23	21	28	22	64	17	47	12	43	16	28
'7	2	9	12	11	12	9	10	5	11	12	0	31	19	15	27	9	23	25	17	17	18	48	25	18	28	22	19	9	27	16	19	26	22	22	23	20	20	8	25	25	15	11	18	13	50	82	84	3	6	5	11	0	19	82	25	65	25	16	12	8	45	25	41	32	30	31	25	17	18	17	23	29	31	24	27	22	22	32	30	30	26	25	27	25	17	10	2	18	17	11	75	23	7	11	42	20	6	21	12	15	10	14	13	29	15	23	6	37	8	17
'8	2	5	3	5	13	10	8	5	6	6	0	14	6	10	14	8	9	13	7	10	4	25	13	24	14	11	9	8	10	11	10	11	18	12	6	20	7	9	11	14	14	5	8	10	37	48	67	2	5	3	12	0	13	56	20	46	18	18	15	13	21	8	25	21	26	24	23	8	8	10	10	13	13	11	17	20	16	15	14	15	17	14	15	23	4	7	2	11	6	9	59	13	5	15	20	16	7	16	4	12	3	11	8	27	7	16	1	15	2	9
'9	3	1	3	3	4	8	5	3	4	7	1	14	8	6	9	8	12	8	7	5	8	12	12	8	12	10	11	4	10	13	7	13	6	6	12	6	9	5	13	6	5	4	8	6	16	40	58	5	3	6	6	0	5	41	14	39	15	13	1	2	13	6	14	16	18	12	14	5	7	6	11	10	9	14	7	12	7	9	12	11	12	8	16	10	9	2	3	13	8	11	45	7	3	10	19	8	5	7	5	13	2	7	1	17	8	19	0	13	1	10
'10	1	2	4	5	10	9	3	1	2	3	0	6	10	2	8	1	4	10	8	4	8	10	13	7	4	6	9	4	6	3	3	4	7	6	6	4	9	5	11	4	1	3	4	3	16	26	36	4	3	0	2	0	9	24	5	32	6	5	6	1	11	10	13	18	7	11	7	9	9	8	6	8	7	4	9	2	6	4	5	7	8	12	2	6	1	3	1	6	6	6	40	7	2	3	17	8	1	6	2	5	1	2	4	10	2	5	2	7	5	9
11-15	2	0	10	9	24	10	12	4	7	9	0	24	17	9	14	8	19	22	7	12	15	20	15	15	16	18	20	7	18	10	14	17	10	15	17	9	9	12	22	17	10	5	13	7	32	69	87	6	7	10	4	0	8	57	17	48	11	10	9	9	36	17	26	27	28	18	18	16	16	18	19	18	18	18	16	24	18	19	18	17	15	16	19	19	12	5	3	18	10	15	63	12	6	11	30	13	5	11	5	5	11	11	8	36	7	23	2	24	2	11
16-20	1	1	2	5	7	1	0	2	2	4	1	5	3	6	3	4	5	2	5	5	2	6	5	3	4	4	4	4	4	4	4	4	6	4	3	4	3	3	5	2	6	2	4	4	8	21	31	1	1	1	4	0	2	23	6	18	4	6	4	2	7	5	7	10	9	7	9	4	5	5	6	3	3	5	5	1	4	4	4	3	3	3	2	7	5	4	0	12	7	10	25	5	2	3	10	3	1	5	2	6	3	2	2	4	3	6	0	6	1	8
21-50	0	1	3	4	9	2	3	0	0	3	1	6	5	2	6	3	5	8	5	5	7	8	8	7	4	6	5	3	4	4	3	6	7	6	6	5	5	3	5	9	4	2	7	2	12	24	29	1	3	3	1	0	3	15	4	11	9	8	1	1	12	7	8	24	10	9	9	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	3	2	8	4	3	25	9	3	4	11	4	0	3	1	2	4	2	5	6	0	5	1	9	1	8
51-100	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	2	1	3	0	0	0	0	0	0	4	0	2	2	0	0	0	2	0	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	1
101-150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
151-200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201-500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	80.7	79.5	76.9	76.9	77.3	79.3	77.0	77.3	79.4	78.3	83.6	65.6	72.1	72.0	72.0	78.6	64.6	66.0	71.5	73.2	72.4	72.8	70.3	71.9	76.9	69.1	65.3	71.8	71.6	71.4	74.9	65.3	71.1	72.9	72.3	71.7	71.3	74.4	64.6	75.8	71.9	80.6	78.9	76.6	74.1	72.7	71.7	77.5	77.0	77.2	78.9	83.8	75.7	71.7	74.6	72.7	76.0	74.3	76.1	74.7	70.4	73.7	72.2	73.3	70.1	70.3	70.6	67.7	67.6	67.4	74.6	74.5	74.6	74.4	74.5	74.6	74.7	75.0	74.5	74.7	75.0	75.0	74.5	74.3	75.8	69.7	82.2	76.4	76.7	76.4	72.2	76.5	79.8	77.1	75.9	76.0	81.3	77.0	79.3	77.4	77.1	75.8	80.3	76.1	79.2	77.1	80.0	75.4	78.8	76.2
'1	17.7	18.1	20.5	20.5	19.1	18.0	20.3	20.4	18.4	18.9	15.6	29.6	23.7	24.5	23.9	18.6	31.0	29.7	24.8	23.4	23.6	22.2	24.9	23.9	19.7	26.5	30.4	24.9	24.0	25.0	21.5	30.5	24.7	23.0	23.7	24.6	24.9	22.1	30.8	20.4	24.5	17.4	18.1	20.5	20.2	20.6	20.7	20.2	20.6	20.5	18.0	15.4	20.4	21.1	20.7	17.5	20.3	22.0	20.9	22.4	24.2	22.1	22.8	21.8	25.0	25.0	24.7	28.5	28.6	28.7	21.6	21.7	21.5	21.7	21.7	21.6	21.5	21.2	21.6	21.6	21.2	21.2	21.6	21.3	20.7	27.3	16.3	20.3	20.2	20.4	20.4	20.3	17.6	19.1	19.1	20.2	17.0	19.2	18.8	19.4	20.3	21.0	17.6	19.3	18.0	19.1	18.1	20.0	18.7	20.4
