Identifier    	Cytoplasmic effector	Apoplastic effector 	Non-effector        	Prediction          
SGCOL_001680-T1 	Y (0.684)           	-                   	-                   	Cytoplasmic effector
SGCOL_001681-T1 	-                   	-                   	Y (0.856)           	Non-effector
SGCOL_001682-T1 	-                   	-                   	Y (0.799)           	Non-effector
SGCOL_001684-T1 	Y (0.621)           	Y (0.699)           	-                   	Apoplastic/cytoplasmic effector
SGCOL_001685-T1 	-                   	-                   	Y (0.585)           	Non-effector
SGCOL_001689-T1 	-                   	Y (0.735)           	-                   	Apoplastic effector
SGCOL_001710-T1 	-                   	-                   	Y (0.948)           	Non-effector
SGCOL_001711-T1 	-                   	Y (0.676)           	-                   	Apoplastic effector
SGCOL_001757-T1 	-                   	-                   	Y (0.741)           	Non-effector
SGCOL_001764-T1 	-                   	-                   	Y (0.785)           	Non-effector
SGCOL_001768-T1 	-                   	-                   	Y (0.884)           	Non-effector
SGCOL_001771-T1 	-                   	-                   	Y (0.724)           	Non-effector
SGCOL_001772-T1 	-                   	-                   	Y (0.625)           	Non-effector
SGCOL_001779-T1 	Y (0.653)           	-                   	-                   	Cytoplasmic effector
SGCOL_001782-T1 	-                   	-                   	Y (0.841)           	Non-effector
SGCOL_001784-T1 	Y (0.732)           	-                   	-                   	Cytoplasmic effector
SGCOL_001785-T1 	-                   	-                   	Y (0.873)           	Non-effector
SGCOL_001789-T1 	-                   	Y (0.57)           	-                   	Apoplastic effector
SGCOL_001791-T1 	-                   	-                   	Y (0.855)           	Non-effector
SGCOL_001807-T1 	-                   	-                   	Y (0.807)           	Non-effector
SGCOL_001811-T1 	-                   	-                   	Y (0.501)           	Non-effector
SGCOL_001812-T1 	-                   	-                   	Y (0.961)           	Non-effector
SGCOL_001814-T1 	-                   	Y (0.787)           	-                   	Apoplastic effector
SGCOL_001815-T1 	-                   	-                   	Y (0.714)           	Non-effector
SGCOL_001816-T1 	-                   	-                   	Y (0.844)           	Non-effector
SGCOL_001817-T1 	-                   	Y (0.843)           	-                   	Apoplastic effector
SGCOL_001833-T1 	-                   	-                   	Y (0.934)           	Non-effector
SGCOL_001846-T1 	-                   	-                   	Y (0.971)           	Non-effector
SGCOL_001847-T1 	-                   	-                   	Y (0.768)           	Non-effector
SGCOL_001849-T1 	-                   	Y (0.752)           	-                   	Apoplastic effector
SGCOL_001865-T1 	-                   	-                   	Y (0.567)           	Non-effector
SGCOL_001867-T1 	-                   	-                   	Y (0.731)           	Non-effector
SGCOL_001872-T1 	-                   	-                   	Y (0.612)           	Non-effector
SGCOL_001873-T1 	-                   	-                   	Y (0.899)           	Non-effector
SGCOL_001899-T1 	-                   	-                   	Y (0.961)           	Non-effector
SGCOL_001902-T1 	-                   	-                   	Y (0.922)           	Non-effector
SGCOL_001905-T1 	-                   	Y (0.501)           	-                   	Apoplastic effector
SGCOL_001909-T1 	-                   	-                   	Y (0.52)           	Non-effector
SGCOL_001916-T1 	-                   	-                   	Y (0.744)           	Non-effector
SGCOL_001932-T1 	-                   	-                   	Y (0.795)           	Non-effector
SGCOL_001943-T1 	-                   	Y (0.988)           	-                   	Apoplastic effector
SGCOL_001946-T1 	-                   	-                   	Y (0.924)           	Non-effector
SGCOL_001953-T1 	-                   	Y (0.526)           	-                   	Apoplastic effector
SGCOL_001960-T1 	-                   	-                   	Y (0.549)           	Non-effector
SGCOL_001963-T1 	-                   	-                   	Y (0.566)           	Non-effector
SGCOL_001965-T1 	-                   	Y (0.52)           	-                   	Apoplastic effector
SGCOL_001972-T1 	-                   	-                   	Y (0.917)           	Non-effector
SGCOL_001973-T1 	-                   	-                   	Y (0.926)           	Non-effector
SGCOL_001990-T1 	Y (0.806)           	Y (0.708)           	-                   	Cytoplasmic/apoplastic effector
SGCOL_001996-T1 	Y (0.593)           	Y (0.803)           	-                   	Apoplastic/cytoplasmic effector
SGCOL_001998-T1 	-                   	Y (0.826)           	-                   	Apoplastic effector
SGCOL_002001-T1 	-                   	-                   	Y (0.916)           	Non-effector
SGCOL_002005-T1 	-                   	-                   	Y (0.785)           	Non-effector
SGCOL_002021-T1 	-                   	-                   	Y (0.73)           	Non-effector
SGCOL_002023-T1 	-                   	Y (0.81)           	-                   	Apoplastic effector
SGCOL_002024-T1 	-                   	-                   	Y (0.52)           	Non-effector
SGCOL_002046-T1 	-                   	-                   	Y (0.795)           	Non-effector
SGCOL_002048-T1 	-                   	Y (0.704)           	-                   	Apoplastic effector
SGCOL_002063-T1 	Y (0.758)           	-                   	-                   	Cytoplasmic effector
SGCOL_002082-T1 	-                   	-                   	Y (0.775)           	Non-effector
SGCOL_002091-T1 	-                   	-                   	Y (0.658)           	Non-effector
SGCOL_002139-T1 	-                   	-                   	Y (0.707)           	Non-effector
SGCOL_002148-T1 	Y (0.502)           	-                   	-                   	Cytoplasmic effector
SGCOL_002179-T1 	-                   	-                   	Y (0.886)           	Non-effector
SGCOL_002202-T1 	-                   	-                   	Y (0.828)           	Non-effector
SGCOL_002216-T1 	-                   	-                   	Y (0.895)           	Non-effector
SGCOL_002269-T1 	-                   	Y (0.632)           	-                   	Apoplastic effector
SGCOL_002271-T1 	-                   	Y (0.538)           	-                   	Apoplastic effector
SGCOL_002272-T1 	-                   	Y (0.642)           	-                   	Apoplastic effector
SGCOL_002281-T1 	-                   	-                   	Y (0.927)           	Non-effector
SGCOL_002294-T1 	Y (0.794)           	-                   	-                   	Cytoplasmic effector
SGCOL_002306-T1 	Y (0.622)           	Y (0.609)           	-                   	Cytoplasmic/apoplastic effector
SGCOL_002314-T1 	-                   	Y (0.539)           	-                   	Apoplastic effector
SGCOL_002315-T1 	-                   	-                   	Y (0.988)           	Non-effector
SGCOL_002324-T1 	Y (0.559)           	-                   	-                   	Cytoplasmic effector
SGCOL_002333-T1 	-                   	-                   	Y (0.941)           	Non-effector
SGCOL_002334-T1 	-                   	-                   	Y (0.853)           	Non-effector
SGCOL_002342-T1 	Y (0.785)           	Y (0.561)           	-                   	Cytoplasmic/apoplastic effector
SGCOL_002345-T1 	-                   	-                   	Y (0.713)           	Non-effector
SGCOL_002347-T1 	-                   	-                   	Y (0.855)           	Non-effector
SGCOL_002348-T1 	Y (0.835)           	-                   	-                   	Cytoplasmic effector
SGCOL_002350-T1 	-                   	Y (0.813)           	-                   	Apoplastic effector
SGCOL_002351-T1 	-                   	Y (0.594)           	-                   	Apoplastic effector
SGCOL_002358-T1 	-                   	Y (0.8)           	-                   	Apoplastic effector
SGCOL_002361-T1 	-                   	-                   	Y (0.735)           	Non-effector
SGCOL_002388-T1 	Y (0.822)           	-                   	-                   	Cytoplasmic effector
SGCOL_002397-T1 	-                   	-                   	Y (0.69)           	Non-effector
SGCOL_002404-T1 	-                   	-                   	Y (0.952)           	Non-effector
SGCOL_002425-T1 	Y (0.783)           	Y (0.691)           	-                   	Cytoplasmic/apoplastic effector
SGCOL_002433-T1 	Y (0.667)           	-                   	-                   	Cytoplasmic effector
SGCOL_002434-T1 	-                   	Y (0.671)           	-                   	Apoplastic effector
SGCOL_002439-T1 	-                   	-                   	Y (0.978)           	Non-effector
SGCOL_002451-T1 	-                   	-                   	Y (0.972)           	Non-effector
SGCOL_002457-T1 	-                   	-                   	Y (0.952)           	Non-effector
SGCOL_002460-T1 	-                   	-                   	Y (0.92)           	Non-effector
SGCOL_002462-T1 	-                   	-                   	Y (0.882)           	Non-effector
SGCOL_002464-T1 	-                   	Y (0.779)           	-                   	Apoplastic effector
SGCOL_002466-T1 	Y (0.722)           	Y (0.851)           	-                   	Apoplastic/cytoplasmic effector
SGCOL_002467-T1 	-                   	Y (0.67)           	-                   	Apoplastic effector
SGCOL_002476-T1 	-                   	-                   	Y (0.891)           	Non-effector
SGCOL_002478-T1 	-                   	Y (0.874)           	-                   	Apoplastic effector
SGCOL_002482-T1 	-                   	-                   	Y (0.574)           	Non-effector
SGCOL_002484-T1 	-                   	Y (0.761)           	-                   	Apoplastic effector
SGCOL_002486-T1 	-                   	-                   	Y (0.701)           	Non-effector
SGCOL_002493-T1 	-                   	-                   	Y (0.905)           	Non-effector
SGCOL_002494-T1 	-                   	Y (0.539)           	-                   	Apoplastic effector
SGCOL_002498-T1 	-                   	-                   	Y (0.578)           	Non-effector
SGCOL_002507-T1 	-                   	-                   	Y (0.593)           	Non-effector
SGCOL_002511-T1 	Y (0.69)           	-                   	-                   	Cytoplasmic effector
SGCOL_002512-T1 	-                   	-                   	Y (0.893)           	Non-effector
SGCOL_002515-T1 	Y (0.643)           	-                   	-                   	Cytoplasmic effector
SGCOL_002516-T1 	-                   	Y (0.757)           	-                   	Apoplastic effector
SGCOL_002526-T1 	-                   	Y (0.763)           	-                   	Apoplastic effector
SGCOL_002538-T1 	-                   	-                   	Y (0.924)           	Non-effector
SGCOL_002541-T1 	-                   	-                   	Y (0.951)           	Non-effector
SGCOL_002545-T1 	-                   	-                   	Y (0.856)           	Non-effector
SGCOL_002546-T1 	-                   	-                   	Y (0.881)           	Non-effector
SGCOL_002547-T1 	-                   	-                   	Y (0.922)           	Non-effector
SGCOL_002559-T1 	-                   	-                   	Y (0.802)           	Non-effector
SGCOL_002561-T1 	-                   	-                   	Y (0.988)           	Non-effector
SGCOL_002567-T1 	-                   	-                   	Y (0.962)           	Non-effector
SGCOL_002568-T1 	-                   	-                   	Y (0.977)           	Non-effector
SGCOL_002569-T1 	-                   	-                   	Y (0.788)           	Non-effector
SGCOL_002571-T1 	-                   	Y (0.74)           	-                   	Apoplastic effector
SGCOL_002572-T1 	Y (0.599)           	-                   	-                   	Cytoplasmic effector
SGCOL_002592-T1 	-                   	-                   	Y (0.716)           	Non-effector
SGCOL_002593-T1 	-                   	-                   	Y (0.961)           	Non-effector
SGCOL_002612-T1 	-                   	-                   	Y (0.694)           	Non-effector
SGCOL_002613-T1 	Y (0.785)           	-                   	-                   	Cytoplasmic effector
SGCOL_002617-T1 	-                   	-                   	Y (0.825)           	Non-effector
SGCOL_002647-T1 	Y (0.71)           	-                   	-                   	Cytoplasmic effector
SGCOL_002665-T1 	-                   	-                   	Y (0.808)           	Non-effector
SGCOL_002668-T1 	-                   	-                   	Y (0.638)           	Non-effector
SGCOL_002669-T1 	-                   	-                   	Y (0.907)           	Non-effector
SGCOL_002676-T1 	-                   	-                   	Y (0.536)           	Non-effector
SGCOL_002677-T1 	-                   	-                   	Y (0.948)           	Non-effector
SGCOL_002680-T1 	-                   	-                   	Y (0.81)           	Non-effector
SGCOL_002692-T1 	Y (0.594)           	Y (0.96)           	-                   	Apoplastic/cytoplasmic effector
SGCOL_002732-T1 	-                   	-                   	Y (0.838)           	Non-effector
SGCOL_002737-T1 	-                   	Y (0.547)           	-                   	Apoplastic effector
SGCOL_002742-T1 	-                   	Y (0.798)           	-                   	Apoplastic effector
SGCOL_002764-T1 	-                   	-                   	Y (0.706)           	Non-effector
SGCOL_002768-T1 	Y (0.514)           	-                   	-                   	Cytoplasmic effector
SGCOL_002769-T1 	-                   	-                   	Y (0.845)           	Non-effector
SGCOL_002771-T1 	-                   	Y (0.523)           	-                   	Apoplastic effector
SGCOL_002779-T1 	Y (0.783)           	-                   	-                   	Cytoplasmic effector
SGCOL_002811-T1 	-                   	-                   	Y (0.732)           	Non-effector
SGCOL_002813-T1 	-                   	-                   	Y (0.839)           	Non-effector
SGCOL_002814-T1 	-                   	-                   	Y (0.986)           	Non-effector
SGCOL_002816-T1 	Y (0.593)           	Y (0.771)           	-                   	Apoplastic/cytoplasmic effector
SGCOL_002821-T1 	-                   	-                   	Y (0.711)           	Non-effector
SGCOL_002822-T1 	-                   	-                   	Y (0.818)           	Non-effector
SGCOL_002828-T1 	-                   	-                   	Y (0.577)           	Non-effector
SGCOL_002829-T1 	-                   	Y (0.698)           	-                   	Apoplastic effector
SGCOL_002833-T1 	-                   	-                   	Y (0.75)           	Non-effector
SGCOL_002845-T1 	Y (0.839)           	-                   	-                   	Cytoplasmic effector
SGCOL_002850-T1 	-                   	-                   	Y (0.692)           	Non-effector
SGCOL_002852-T1 	-                   	-                   	Y (0.671)           	Non-effector
SGCOL_002854-T1 	-                   	-                   	Y (0.961)           	Non-effector
SGCOL_002857-T1 	Y (0.717)           	-                   	-                   	Cytoplasmic effector
SGCOL_002863-T1 	-                   	-                   	Y (0.566)           	Non-effector
SGCOL_002865-T1 	-                   	-                   	Y (0.785)           	Non-effector
SGCOL_002873-T1 	-                   	Y (0.864)           	-                   	Apoplastic effector
SGCOL_002874-T1 	-                   	-                   	Y (0.614)           	Non-effector
SGCOL_002876-T1 	-                   	Y (0.584)           	-                   	Apoplastic effector
SGCOL_002878-T1 	-                   	Y (0.599)           	-                   	Apoplastic effector
SGCOL_002908-T1 	-                   	Y (0.568)           	-                   	Apoplastic effector
SGCOL_002912-T1 	Y (0.531)           	Y (0.807)           	-                   	Apoplastic/cytoplasmic effector
SGCOL_002953-T1 	-                   	-                   	Y (0.831)           	Non-effector
